id_product,product_name,description
21,Aerie Hi-Leg Bikini,"New! Hi-leg fit. Your go-to fave with a peek of cheek, updated with a new hi-leg fit for a lot of WOW! style: 6447-5511 | color: 410 Comfy, stretchy cotton Hits higher on the waist A peek of cheek Hi-leg Elastic waistband 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
22,Aerie Cheeky,"More cheek peek. A lot of WOW! The soft and comfy cotton you love in the cheeky fit you go to. style: 7442-5445 | color: 073 Comfy cotton Low rise More cheek peek Wide lace waistband Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
23,Aerie Lace Sunnie Boybrief,"We're serious about soft. The Real Soft® fabric you love in our no. 1 fit. style: 1773-5901 | color: 410 Real Soft® fabric Aerie undies: Your panty drawer just got REAL. Lace trim Low rise No cheek peek 72% Nylon, 28% Spandex Machine Wash Imported read more read less"
24,Aerie Boybrief,"Our #1 fit. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6443-5295 | color: 498 Comfy, stretchy cotton Low rise Wide lace waistband Aerie undies: Your panty drawer just got REAL. 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
25,Aerie Cheeky,"More cheek peek for extra WOW! The soft and comfy cotton you love in the fit you go to. style: 7442-5328 | color: 125 Comfy, stretchy cotton Low rise More cheek peek Aerie undies: Your panty drawer just got REAL. 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
26,Aerie Bikini,"A peek of cheek. A lot of WOW. The soft and comfy cotton you love in the fit you go to. style: 3441-5404 | color: 030 Comfy, stretchy cotton V-back detail Aerie undies: Your panty drawer just got REAL. Low rise A peek of cheek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
27,Aerie Mesh Boybrief,"Our #1 fit. Shine on in our no. 1 fit! style: 5777-6103 | color: 199 Soft mesh Low rise No cheek peek Wide lace waistband Aerie undies: Your panty drawer just got REAL. 88% Nylon, 12% Elastane Machine Wash Imported read more read less"
28,Aerie Cheeky,"Celebrate the cheek peek! Everyday, loves: Listen to your heart. Get comfy. Be happy. style: 7441-5361 | color: 410 Comfy, stretchy cotton Panties, underwear, lingerie… Get real. It’s all undies for us! Lace trim waist & leg openings Front bow We call them favorites for a reason Low rise More cheek peek 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
29,Aerie Everyday Loves Lace Boybrief,"Introducing Everyday Loves™: Made with love. Everyday, loves: Listen to your heart. Get comfy. Be Happy. Your go-to fave has just a peek of cheek & a whole lot of WOW. style: 5776-5974 | color: 073 Soft lace with the right amount of stretch Aerie undies: your panty drawer just got REAL! Low rise 97% Nylon, 3% Spandex Machine Wash Imported read more read less"
30,Aerie Boybrief,"Better than the boys’… It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 6441-5336 | color: 012 Comfy, stretchy cotton Signature logo waistband We call them favorites for a reason Undies: the REAL way to say panties. Low rise 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
31,Aerie String Thong,"NO PANTS PARTY! Gettin’ stringy with it… Everyday, loves: Listen to your heart. Get comfy. Be happy...& happiness is comfy cotton and total cheek! style: 5441-5345 | color: 100 Comfy, stretchy cotton We call them favorites for a reason Undies: the REAL way to say panties Low rise Total cheek! 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
32,Aerie Boyshort,"Boy oh boy! The soft and comfy cotton you love in the fit you go to. style: 8442-5403 | color: 536 Comfy, stretchy cotton Aerie undies: Your panty drawer just got REAL. V-back detail Low rise No cheek peek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
33,Aerie Shine Boybrief + Boho Lace,"Shine on. Peace, love & lace. style: 5777-6108 | color: 633 SMOOTH shine fabric + boho lace waistband Better together: pair with a boho bralette! Low rise No cheek peek 85% Nylon, 15% Elastane Machine Wash Imported read more read less"
34,Aerie String Thong,"NO PANTS PARTY! Gettin’ stringy with it… Your go-to love (with the most cheek peek) in our fave fabric: Our classic, comfy ""Favorite"" cotton. style: 5441-4301 | color: 184 Comfy, stretchy cotton Low rise Total cheek! We call them favorites for a reason Undies: the REAL way to say panties 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
35,Aerie Cheeky,"These are a few of our favorite things. We won't tell Santa. Get a little cheeky with more cheek peek & our soft, Favorite cotton. style: 7441-5110 | color: 012 Comfy, stretchy cotton Low rise More cheek peek Lace at waist and leg openings Pretty bow at front Mixed print detail We call them favorites for a reason Undies: the REAL way to say panties. Everyday Loves Collection 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
36,Aerie Cheeky,"More cheek peek. A lot of WOW! The soft and comfy cotton you love in the cheeky fit you go to. style: 7442-5436 | color: 389 Comfy cotton Low rise More cheek peek Wide lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
37,Aerie Boyshort,"Boy oh boy! The soft and comfy cotton you love in the fit you go to. style: 8442-5447 | color: 073 Comfy cotton Low rise No cheek peek Wide lace waistband Pretty bow at front Lace at leg openings Aerie undies: Your panty drawer just got REAL! 95% Cotton, 5% Elastane Imported read more read less"
38,Aerie Mesh Thong,"Total cheek! Shine on in the total cheek! fit that's all about comfy. style: 5772-6101 | color: 669 Soft mesh Low rise Total cheek! Wide lace waistband Aerie undies: Your panty drawer just got REAL. 88% Nylon, 12% Elastane Machine Wash Imported read more read less"
39,Aerie Bikini,"SHAKE THAT BOOTY! Your go-to fave has just a peek of cheek & a whole lot of WOW. style: 0442-4559 | color: 100 Comfy, stretchy cotton Panties, underwear, lingerie… Get real. It’s all undies for us! Everyday Loves Collection Pretty bow at front Binding at waist & leg openings We call them favorites for a reason Low rise A peek of cheek 95% Cotton, 5% Spandex Machine Wash Imported read more read less"
40,Aerie Seamless Boybrief,"Our #1 fit. Smooth: No seams. All comfort. Real comfy. style: 1774-6114 | color: 199 Smooth seamless fabric Aerie undies: Your panty drawer just got REAL. Low rise No cheek peek 64% Polyester, 28% Nylon, 8% Elastane Machine Wash Imported read more read less"
41,Aerie Everyday Loves Lace Boyshort,"Keepin’ it short & sweet. It all started with a boybrief: our original fit! 10 years later, it’s still our #1 fit. style: 5778-6082 | color: 536 Soft lace with the right amount of stretch Low rise No cheek peek 97% Nylon, 3% Elastane Machine Wash Imported read more read less"
42,Aerie Mesh Cheeky,"More cheek peek. Even more WOW. Shine on in a cheekier fit that's all about comfy. style: 1776-6102 | color: 413 Soft mesh Low rise More cheek peek Wide lace waistband Lace trim Aerie undies: Your panty drawer just got REAL. 88% Nylon, 12% Elastane Machine Wash Imported read more read less"
43,Aerie Shine Cheeky + Boho Lace,"Peace, love & lace. Shine on with more cheek peek. style: 1776-6107 | color: 645 Smooth shine fabric + boho lace Low rise More cheek peek Wide boho lace waistband Undies: the REAL way to say panties. Low rise A peek of cheek 85% Nylon, 15% Elastane Machine Wash Imported read more read less"
44,Aerie Everyday Loves Lace Thong,"Introducing Everyday Loves™: Made with love. Your go-to fave has total cheek & a whole lot of WOW. style: 1446-5971 | color: 184 Soft stretch lace Aerie undies: your panty drawer just got REAL! Low rise Total cheek! 97% Nylon, 3% Spandex Machine Wash Imported read more read less"
45,Aerie Sunnie Thong,"Real Soft® from your bra to your booty. Your fave collection. Total cheek. style: 1772-5902 | color: 133 Real Soft® fabric Lace trim at waist & leg openings Undies: the REAL way to say panties Low rise Total cheek! 72% Nylon, 28% Spandex Hand Wash Imported read more read less"
46,Aerie Bikini,"A peek of cheek. A lot of WOW. The soft and comfy cotton you love in the fit you go to. style: 3441-5333 | color: 417 Comfy, stretchy cotton Aerie undies: Your panty drawer just got REAL. Low rise No cheek peek 95% Cotton, 5% Elastane Machine Wash Imported read more read less"
