id_product,product_name,description
397,ELLE Bralet,"Instantly elevate your intimates with this longline structured bralet. In a charcoal hue, it’s finished with underwired cups for extra support. 96% Polyester, 4% Elastane. Machine wash."
398,Triangle Bra by Bonds,"Black triangle bra by Bonds. 95% Cotton, 5% Elastane. Machine wash."
399,Underwired Lace Bra,"Orange lace bra and mini knickers set. 89% Nylon, 11% Elastane. Machine wash."
400,Eyelash Lace Triangle Bra,Revamp your lingerie collection with this strappy eyelash lace lingerie set. 100% Polyamide. Machine wash.
401,Eyelash Lace Thong,Revamp your lingerie collection with this strappy eyelash lace lingerie set. 100% Polyamide. Machine wash.
402,Two Tone Lace Bralet,"Chartreuse two tone lace bralet with sporty underband detail. 49% Polyamide, 36% Polyester, 15% Elastane. Machine wash."
403,Lace Mini Knickers,"In a pretty lace and mesh design, these dusty lilac mini knickers are finished with a contrast waistband. 87% Nylon, 13% Elastane. Machine wash."
404,Padded Lace Triangle Bra,"Burnt orange lace triangle bra with pad and racerback detail. 89% Nylon,11% Elastane. Machine wash."
405,3 Pack Cotton Lace Mini Knickers,"Three-pack of cotton lace mini knickers. 88% Polyamide, 12% Elastane. Machine wash."
406,Lace Mini Knickers,"Burnt orange padded lace triangle bra and knickers set. 89% Nylon, 11% Elastane. Machine wash."
407,Bralet by Tommy Hilfiger,"Navyblaues Bustier von Tommy Hilfiger. 94 % Baumwolle, 6 % Elastan. Maschinenwäsche."
408,Black Velvet Bralet by Y.A.S,"A black velvet bralet by Y.A.S. 95% Polyester, 5% Elastane. Machine wash."
409,Dinosaur Boypants,"Low rise boypants with good coverage. 95% Cotton, 5% Elastane. Machine wash."
410,MATERNITY Criss Cross Bra,"Set of criss cross bra with matching knickers in black. 78% Polyamide, 22% Elastane. Machine wash."
411,Cotton No VPL Mini Knickers,"Minislip mit tiefem Beinausschnitt und ohne sichtbare Kontur. 87 % Baumwolle, 13 % Elastan. Maschinenwäsche."
412,All Over Lace Body,"Keep your base layers luxe with this body in all-over ginger lace with lace-up detail to the front. 85% Nylon, 15% Elastane. Machine wash."
413,Lace Mini Knickers,"Black lace mini knickers. 89% Nylon, 11% Elastane. Machine wash."
414,**Body by Y.A.S,"Black body. 92% Nylon, 8% Elastane. Machine wash."
415,Lacey Strap Triangle Bra,"Revamp your underwear collection with this unique non-padded, non-wired cup triangle bra with cool strappy detailing. 89% Polyamide,11% Elastane. Machine wash."
416,Cotton No VPL Mini Knickers,"Keep your outfits seam-free with this low rise knickers with good coverage and a no VPL finish. Perfect worn under slim fitted outfits. 87% Cotton, 13% Elastane. Machine wash."
417,Body by Somedays Lovin',"White body by Somedays Lovin. 85% Polyester, 15% Elastane. Machine wash."
418,Embellished Underwire Bra,"Cream mesh triangle bra with embroidered floral detailing on each cup. 89% Polyamide, 11% Elastane. Machine wash."
419,Embroidered Triangle Bra,"An embroidered triangle bra and mini knickers set. 89% Polyamide, 11% Elastane. Machine wash."
420,Embroidered Mini Knickers,"An embroidered triangle bra and mini knickers set. 89% Polyamide, 11% Elastane. Machine wash."
421,Colourblock Triangle Bra,"|Nude and pale blue colourblock sporty triangle bra with orange detail. 85% Polyamide, 15% Elastane. Machine wash.|"
422,**Padded Bra by Wonderbra,"Opt for an enhanced look in this full-support padded bra in black by iconic brand Wonderbra. 62% Polyamide, 22% Polyester, 16% Elastane. Machine wash."
423,Soft Bra by BlueBella,"Pink soft bra by BlueBella. 90% Polyamide, 10% Elastane. Machine wash."
424,Floral Applique Thong,"Embellished underwire bra and applique thong set. 89% Polyamide,11% Elastane. Machine wash."
425,Strawberry Applique Mini Knickers,"Update your lingerie collection with these mini knickers in red, featuring cute strawberry applique and velvet detail. 89% Polyamide, 11% Elastane. Machine wash."
426,Broderie Lace Balconette Bra,"Lightly padded balcony bra with underwired cups for a smooth shape and added support 60% Polyamide,40% Cotton. Machine washable."
427,Bohemian Plunge Bra,Premium aqua plunge bra with applique detailing. 100% Polyamide. Machine wash.
428,Push Up Bra by Bluebella,"Pink push up bra by Bluebella. 89% Polyamide,11% Elastane. Machine wash."
429,**Lace Triangle Bra by TOPSHOP BRIDE,"In a beautiful ivory lace, this beautiful triangle bra gives a delicate touch to your under layers. Perfect for wearing under your wedding dress, it features no pads and non-wired cups for a barely there natural shape. 100% Polyester. Machine wash."
430,**Halterneck Bra by Y.A.S,"Black halterneck bra. 92% Nylon, 8% Elastane. Machine wash."
431,White Bra by Somedays Lovin',"White bra by Somedays Lovin. 85% Polyester, 15% Elastane. Machine wash."
432,Eyelash Lace Plunge Bra,"Invest in a luxe piece for your lingerie drawer with this lightly padded bra in blue eyelash lace, with a plunging neckline and underwired cups for added support. 88% Polyamide, 12% Elastane. Machine wash."
433,Full Lace Knickers,"Soft and semi-sheer, these full-lace panties sit comfortably on the waist for a barely-there unnoticeable feel. Available in other colours. 83% Nylon, 17% Elastane. Machine wash."
434,Criss Cross Lace Mini Knickers,"Low rise mini knickers with good coverage. 78% Polyamide, 22% Elastane. Machine wash."
435,Push Up Bra by Wonderbra,"Opt for an enhanced look in this full-support push up bra in black by iconic brand Wonderbra. 45% Polyester, 43% Polyamide, 12% Elastane. Machine wash."
436,Lace Balcony Bra,"Add a touch of lace to your lingerie collection with this pretty lace bra in coral with balcony cups for extra support. 89% Nylon, 11% Elastane. Machine wash."
437,Camisole And Bikini Set by Bluebella,Pink camisole and frill mini knickers set by Bluebella. 100% Polyester. Machine wash.
438,MATERNITY Blue Basic Tankini,"A basic style bikini set for your pregnancy. 80% Polyamide, 20% Elastane. Machine wash."
439,MATERNITY Blue Basic Bikini Bottoms,"A basic style bikini set for your pregnancy. 80% Polyamide, 20% Elastane. Machine wash."
440,Jasmine Boypant,"Think cute prints and patterns with these comfy boypants. Crafted from a stretchy cotton blend, they feature a Disney Aladdin print with a low-rise waistband and good coverage for total comfort. 95% Cotton,5% Elastane. Machine wash."
441,Floral Geo Lace Brazilian Knickers,"Low rise lace brazilian knickers with an elastic free leg-line for a seamless fit. 85% Nylon,15% Elastane. Machine wash."
442,MATERNITY Criss Cross Knickers,"Set of criss cross bra with matching knickers in black. 78% Polyamide, 22% Elastane. Machine wash."
443,Burnout Lace Mini Knickers,"Look to luxe lace to elevate your underwear collection in this pink pair of full coverage mini knickers in burnout lace detail. 73% Viscose, 22% Polyester, 5% Elastane. Machine wash."
444,Bikini Knickers by Tommy Hilfiger,"Get serious about your under layer this season with this comfy navy blue bikini knicker by Tommy Hilfiger. Great for a smooth fit under jeans. 90% Cotton, 10% Elastane. Machine wash."
445,Burnout Lace Thongs,"Tanga mit niedriger Leibhöhe aus Spitze mit Ausbrenner-Effekt. 73 % Viskose. 22 % Polyester, 5 % Elastan. Maschinenwäsche."
446,Pretty Lace Triangle Bra,"Non-padded triangle bra with non-wired cups for a barely there, natural shape. 66% Polyamide, 22% Viscose, 12% Elastane. Machine wash."
447,Seamless Sporty Branded Bra,"Opt for a simple but practical style when choosing underwear with this sporty bra in blue with ‘Topshop’ branding detail to the underband. 85% Nylon,14% Elastane,1% Polyester. Machine wash."
448,Pretty Lace Triangle Bra,"Add a dose of colour to your underwear drawer with our yellow triangle bra. You'll bound to feel extra pretty with the delicate lace and soft cup design. 88% Polyamide, 12% Elastane. Machine wash."
449,Eyelash Lace Triangle Bra,Revamp your underwear collection with this unique non-padded triangle bra in eyelash lace with strap detailing. Works as a set with strappy lace thong. 100% Polyamide. Machine wash.
450,Laura Plunge Bra by Bluebella,"Black push-up plunge bra by Bluebella with gold metal detail. 89% Polyamide,11% Elastane. Machine wash."
451,**Brazilian Knickers by Y.A.S,"Black brazilian knickers. 92% Nylon, 8% Elastane. Machine wash."
452,Snow White Cheeky Knickers,"Add a touch of fun to your underwear collection with these Snow White motif cheeky knickers. 95% Cotton, 5% Elastane. Machine wash."
453,Triangle Bra by Somedays Lovin',This gorgeous triangle bra by Someday’s Lovin’ is a luxe addition to your underwear collection. We love the pretty embroidered detail to the cups. 100% Nylon. Machine wash.
454,Thong by Bluebella,"Pink thong by Bluebella. 90% Polyamide,10% Elastane. Machine wash."
455,Strappy Lace Thong,Revamp your underwear collection with this unique low rise thong featuring eyelash lace and strappy detailing. Works as a set with Strappy Lace Triangle Bra. 100% Polyamide. Machine wash.
456,Lace Underwired Bra,"Ginger underwired lace bra. 89% Nylon, 11% Elastane. Machine wash."
457,Black Knickers by Somedays Lovin',"Black knickers by Somedays Lovin'. 85% Polyester, 15% Elastane. Machine wash."
458,Criss Cross Mesh Underwire Bra,"Update your under layers with this pretty lace underwire bra in a criss-cross design, with no pads for a barely-there feel. 78% Polyamide, 22% Elastane. Machine wash."
459,Eyelash Lace Strappy Triangle Bra,"Get glamorous with your underlayer in this eyelash lace triangle bra. Its non-padded, non-wired cups create a barely there feel and natural shape. 100% Polyamide. Machine wash."
460,Seamless Sporty Thong,"This sporty thong comes in a cool fuschia with a low-rise fit. 85% Nylon,14% Elastane,1% Polyester. Machine wash."
461,Contrast Lace Triangle Bra,"Non-padded triangle bra with non-wired cups for a barely there, natural shape. 66% Polyamide, 22% Viscose, 12% Elastane. Machine wash."
462,Geo Floral Lace Underwire Bra,"Non-padded bra with underwired cups for a barely-there feel with discreet support 85% Nylon,15% Elastane. Machine wash."
463,Pretty Lace Triangle Bra,"Crochet triangle bra and low rise brazilian knickers with elastic free leg-line for a seamless fit. 88% Polyamide,12% Elastane. Machine wash."
464,Burnout Mini Knickers,"White mini knickers with burnout detailing. 73% Viscose, 22% Polyester, 5% Elastane. Machine wash."
