id_product,product_name,description
72,Leopard Nouveau Peek-A-Boo Bralette,"Play ""peek-a-boo"" in our racy Leopard Nouveau."
73,Leopard Nouveau *Plus Size* Retro V-kini,You'll want to be spotted in Leopard Nouveau.
74,I DO Original Rise Thong and Leg Garter Gift Set,"Something new, something blue, a Hanky Panky thong with Swarovski® crystals that sparkle in ""I DO""—this lacy pairing is packed with wedding day essentials."
75,Princess Lace Open Bralette,"Provocative, yet pretty stretch lace bralette with open half cups and pearl-drop bows."
76,Heather Hipster,"Our newest active-inspired collection can take you from barre to brunch, and everywhere in-between."
77,Sleeveless Supima ® Cotton Pajamas,Get your best sleep yet with this cotton sleep set.
78,Cross-Dyed Padded Bralette,Delicate lace bralette with a soft stretch tulle lining and removable pads for subtle shaping and light support.
79,Rolled Sophisticat Original Rise Thong,The Essential Leopard Print
80,Signature Lace Thong-Back Bodysuit,Our effortless essential will never give you VPL. 
81,Signature Lace Ali Crop,Our newest cropped top in signature lace.
82,Signature Lace Brazilian Bikini in Box,"With cheeky back coverage, this Brazilian beauty is a spicier version of the classic bikini panty in the signature stretch lace you love comes packaged in a box"
83,Love Tied High Neck Bralette,Wrapped with a bow.
84,Peep Show Bralette,Tease with tantalizing peeks.
85,I DO Low Rise Thong with Gift Box,"Who knew two little words could mean so much? Say it in style with this Hanky Panky low rise thong that says ""I DO"" in Swarovski® Crystals."
86,Venice Leg Garter,Too pretty to toss.
87,Donkey Low Rise Thong Election 3 Pack,Our boxed donkey election pack is perfect for the democrat in your life. 
88,Organic Cotton Low Rise Thong with Contrast Trim,Our popular low rise thong in Organic Cotton with contrast trim.
89,Rolled Sophisticat Low Rise Thong,The Essential Leopard Print
90,Maid of Honor Low Rise Thong,"Repay your debt of gratitude with a maid of honor gift that'll make ladies of all ages swoon: a low rise thong bedecked with crystals spelling out ""Maid of Honor"".  "
91,Chiffon Tap Pant,Classic and romantic.
92,Venise BARE Boyshort,"The luxurious look of lace, the naked feel of BARE."
93,Rolled Bermuda Nights Low Rise Thong,Tropical brights.
